count_transactions,transactions_country.geoNetwork_country,transactions_country.date_formatted
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
329,United States,8/11/2016
,United States,8/11/2016
,United States,8/11/2016
,United States,8/11/2016
,United States,8/11/2016
,United States,8/11/2016
,United States,8/11/2016
,United States,8/11/2016
,United States,8/11/2016
,United States,8/11/2016
,United States,8/11/2016
,United States,8/11/2016
,United States,8/11/2016
,United States,8/11/2016
,United States,8/11/2016
,United States,8/15/2016
,United States,8/15/2016
,United States,8/15/2016
,United States,8/15/2016
,United States,8/16/2016
,United States,8/16/2016
,United States,8/16/2016
,United States,8/16/2016
,United States,8/16/2016
,United States,8/16/2016
,United States,8/16/2016
,United States,8/16/2016
,Venezuela,8/17/2016
,Venezuela,8/17/2016
,Venezuela,8/17/2016
,United States,8/19/2016
,United States,8/19/2016
,United States,8/19/2016
,United States,8/19/2016
,United States,8/19/2016
,United States,8/19/2016
,United States,8/25/2016
,United States,8/25/2016
,United States,8/25/2016
,United States,8/25/2016
,United States,8/25/2016
,United States,8/25/2016
,United States,8/25/2016
,United States,8/25/2016
,United States,8/25/2016
,United States,8/25/2016
,Venezuela,8/26/2016
,Venezuela,8/26/2016
,Venezuela,8/26/2016
,Venezuela,8/26/2016
,Venezuela,8/26/2016
,Venezuela,8/26/2016
,Venezuela,8/26/2016
,Venezuela,8/26/2016
,Venezuela,8/26/2016
,Venezuela,8/26/2016
,Venezuela,8/26/2016
,Venezuela,8/26/2016
,Venezuela,8/26/2016
,Venezuela,8/26/2016
,Venezuela,8/26/2016
,Venezuela,8/26/2016
,Venezuela,8/26/2016
,Venezuela,8/26/2016
,Venezuela,8/26/2016
,United States,8/31/2016
,United States,8/31/2016
,United States,8/31/2016
,United States,8/31/2016
,United States,8/31/2016
,United States,8/31/2016
,United States,8/31/2016
,United States,8/31/2016
,United States,8/31/2016
,United States,8/31/2016
,United States,8/31/2016
,United States,8/31/2016
,United States,8/31/2016
,United States,8/31/2016
,United States,9/8/2016
,United States,9/8/2016
,United States,9/8/2016
,United States,9/14/2016
,United States,9/14/2016
,United States,9/14/2016
,United States,9/20/2016
,United States,9/20/2016
,United States,9/20/2016
,United States,10/3/2016
,United States,10/3/2016
,United States,10/3/2016
,United States,10/3/2016
,United States,10/3/2016
,United States,10/3/2016
,United States,10/3/2016
,United States,10/3/2016
,United States,10/20/2016
,United States,10/20/2016
,United States,10/20/2016
,United States,10/20/2016
,United States,10/20/2016
,United States,10/20/2016
,United States,10/20/2016
,United States,10/20/2016
,United States,10/20/2016
,United States,10/20/2016
,United States,10/20/2016
,United States,10/20/2016
,United States,10/20/2016
,United States,11/3/2016
,United States,11/3/2016
,United States,11/3/2016
,United States,11/8/2016
,United States,11/8/2016
,United States,11/8/2016
,United States,11/8/2016
,United States,11/8/2016
,United States,11/8/2016
,United States,11/8/2016
,United States,11/8/2016
,United States,11/8/2016
,United States,11/8/2016
,United States,11/8/2016
,United States,11/8/2016
,United States,11/8/2016
,United States,11/8/2016
,United States,11/8/2016
,United States,11/8/2016
,United States,11/8/2016
,United States,11/15/2016
,United States,11/15/2016
,United States,11/15/2016
,United States,11/27/2016
,United States,11/27/2016
,United States,11/27/2016
,United States,11/29/2016
,United States,11/29/2016
,United States,11/29/2016
,United States,11/29/2016
,United States,11/29/2016
,United States,11/29/2016
,United States,11/29/2016
,United States,11/29/2016
,United States,11/29/2016
,United States,11/29/2016
,United States,11/29/2016
,United States,11/29/2016
,United States,12/9/2016
,United States,12/9/2016
,United States,12/9/2016
,United States,12/11/2016
,United States,12/11/2016
,United States,12/11/2016
,United States,12/15/2016
,United States,12/15/2016
,United States,12/15/2016
,United States,12/18/2016
,United States,12/18/2016
,United States,12/18/2016
,United States,12/18/2016
,United States,12/18/2016
,United States,12/19/2016
,United States,12/19/2016
,United States,12/19/2016
,United States,12/19/2016
,United States,12/19/2016
,United States,12/19/2016
,United States,12/19/2016
,United States,12/19/2016
,United States,12/19/2016
,United States,12/19/2016
,United States,12/19/2016
,United States,12/19/2016
,United States,12/19/2016
,United States,12/20/2016
,United States,12/20/2016
,United States,12/20/2016
,United States,12/30/2016
,United States,12/30/2016
,United States,12/30/2016
,United States,1/3/2017
,United States,1/3/2017
,United States,1/3/2017
,United States,2/1/2017
,United States,2/1/2017
,United States,2/1/2017
,United States,2/1/2017
,United States,2/1/2017
,United States,2/1/2017
,United States,2/1/2017
,United States,2/1/2017
,United States,2/1/2017
,United States,2/1/2017
,United States,2/1/2017
,United States,2/1/2017
,United States,2/1/2017
,United States,2/1/2017
,United States,2/1/2017
,United States,2/1/2017
,United States,2/1/2017
,United States,3/11/2017
,United States,3/11/2017
